,城市,小区名,地址,住宅类型,均价
182,nj,雨花广场,横梁街道石源路15号,普通住宅,9500
183,nj,翠屏城,江宁区禄口镇宁溧路188号,普通住宅,24500
184,nj,高科荣境,栖霞区仙林大道与经天路交汇处,普通住宅,17200
185,nj,弘阳爱上城,南京市高新区泰山街道123地块,普通住宅,22000
186,nj,世茂荣里,南京市浦口区定向河路和浦珠路交汇处,普通住宅,20000
187,nj,招商1872公园里,燕子矶太新路南侧枣林村B地块,普通住宅,24000
188,nj,万科翡翠公园,南京市江宁区秣陵街道双龙大道1699号,普通住宅,470
189,nj,新城玖珑湖,江宁秣陵街道长亭街55号,普通住宅,600
190,nj,佳兆业城市广场,建邺区河西南部南外与太清路交汇处,普通住宅,380
191,nj,江宁万达广场,江宁东山街道竹山路59号,普通住宅,110
192,nj,恒建金陵美域,江宁湖熟街道灵顺北路211号,普通住宅,350
193,nj,明发浦泰梦幻家,雨花区凤汇大道锦华新城东侧（凤锦路与锦华新城小区用地交汇处）,普通住宅,100
194,nj,中天铭廷,学海路和文成路交汇处,普通住宅,1000
195,nj,融创臻园,江浦街道雨山西路,普通住宅,800
196,nj,朗诗保利麓院,汇通路和灵山北路的交汇处的东南边,别墅,160
197,nj,龙湖春江紫宸,建宁路以南，公共路以北，江边路以东，天妃宫小学以西,普通住宅,100
198,nj,凤凰小镇青林湾,天生桥大道218号,别墅,100
199,nj,中航国际社区,燕子矶街道太新路与燕园路交汇处,普通住宅,2000
200,nj,万科城,永阳镇秀园路6号,普通住宅,340
201,nj,金地浅山艺境,顶山街道七里桥北路西侧,普通住宅,1100
